id;transaction_month;asset_serial_tag;service_outlet_code;transaction_id;transaction_details;transaction_amount
1;2019-11-08;redundant website;Chair Circles;68045;grow Orchestrator;72188
2;2019-11-08;El Salvador Colon US Dollar XSS;Lead sensor bypass;14592;Tasty;57090
3;2019-11-08;Berkshire;magenta efficient;77580;Tactics;7241
4;2019-11-07;Unbranded revolutionary;bypassing;35780;benchmark Planner;20085
5;2019-11-07;neural green Chicken;Web;12421;Lead Personal Loan Account Checking Account;61294
6;2019-11-07;capacitor;Assurance Auto Loan Account cross-platform;61225;Avon invoice Malta;59747
7;2019-11-07;Manors deposit Central African Republic;markets protocol Savings Account;65029;Trafficway;61574
8;2019-11-08;Architect;override PNG;43365;Sleek Wooden Towels Clothing;65326
9;2019-11-08;Designer;Borders Intelligent whiteboard;22056;web-readiness;20357
10;2019-11-08;Drives XSS interface;navigating Money Market Account array;76772;Avon Syrian Arab Republic Borders;58805
